rxcui,name,tty,search_traffic
1251208,supreme,BN,5000000
1426889,indigo,IN,3350000
731594,android,BN,2740000
899209,excel,BN,2240000
1300289,alo,BN,1830000
202363,xanax,BN,1830000
10689,tramadol,IN,1500000
11295,water,IN,1220000
891137,legend,BN,1220000
1311190,gold,IN,1220000
1805710,genesis,BN,1220000
1423459,triumph,BN,1000000
1362686,diamond,IN,1000000
8640,prednisone,IN,1000000
5640,ibuprofen,IN,1000000
360262,apple cider vinegar,IN,1000000
25480,gabapentin,IN,1000000
1667643,matrix,BN,1000000
190465,viagra,BN,1000000
352362,acetaminophen / tramadol,MIN,975000
10603,tin,IN,823000
11253,vitamin d,IN,823000
7258,naproxen,IN,823000
41493,meloxicam,IN,823000
84815,adderall,BN,823000
723,amoxicillin,IN,823000
204362,soma,BN,823000
96797,tomorrow,BN,823000
7646,omeprazole,IN,823000
1008370,amoxicillin / diclofenac,MIN,748000
484259,ibuprofen / oxycodone,MIN,725000
710303,codeine / ibuprofen,MIN,725000
818102,acetaminophen / ibuprofen,MIN,725000
214627,hydrocodone / ibuprofen,MIN,684000
303263,cialis,BN,673000
3355,diclofenac,IN,673000
2556,citalopram,IN,673000
6809,metformin,IN,673000
42844,percocet,BN,673000
3640,doxycycline,IN,673000
411,air,IN,673000
1044273,revolution,BN,673000
6922,metronidazole,IN,673000
321988,escitalopram,IN,673000
896747,today,BN,673000
2551,ciprofloxacin,IN,673000
844227,muse,BN,673000
219770,ssd,BN,673000
6711,melatonin,IN,673000
6574,magnesium,IN,673000
2598,clonazepam,IN,673000
397,agar,IN,673000
1811630,aspirin / omeprazole,MIN,636500
1008561,acetaminophen / naproxen,MIN,636500
817356,acetaminophen / codeine / ibuprofen,MIN,633333
1100065,famotidine / ibuprofen,MIN,623000
1008170,ibuprofen / niacin,MIN,623000
644895,diphenhydramine / ibuprofen,MIN,623000
800402,clinimix 4.25/10,BN,610000
800468,clinimix e 2.75/10,BN,610000
1090636,clinimix e 4.25/10,BN,610000
1007482,ibuprofen / lidocaine,MIN,600500
815961,piroxicam / prednisone,MIN,600500
1009037,ibuprofen / methocarbamol,MIN,600500
214652,ibuprofen / pseudoephedrine,MIN,582500
1298205,apple cider vinegar / calcium carbonate,MIN,567500
1007329,ibuprofen / phenylephrine,MIN,567500
106637,misoprostol / naproxen,MIN,562000
820463,acetaminophen / melatonin,MIN,561500
1008110,codeine / diclofenac,MIN,561500
819516,acetaminophen / diclofenac,MIN,561500
1008440,ibuprofen / scopolamine,MIN,555000
1309239,coconut oil,IN,550000
8787,propranolol,IN,550000
1433544,exodus,BN,550000
1311279,palladium,IN,550000
36437,sertraline,IN,550000
704,amitriptyline,IN,550000
151392,augmentin,BN,550000
58827,prozac,BN,550000
487252,spirulina,IN,550000
6918,metoprolol,IN,550000
83367,atorvastatin,IN,550000
404773,amlodipine / atorvastatin,MIN,550000
1038765,scrubs,BN,550000
17767,amlodipine,IN,550000
18631,azithromycin,IN,550000
20610,cetirizine,IN,550000
52175,losartan,IN,550000
890964,program,BN,550000
21949,cyclobenzaprine,IN,550000
29046,lisinopril,IN,550000
10737,trazodone,IN,550000
593441,lyrica,BN,550000
6769,mercury,IN,550000
1311629,nickel,IN,550000
1090526,legacy,BN,550000
2129,castor oil,IN,550000
1008942,chloramphenicol / prednisone,MIN,545250
1007410,carisoprodol / ibuprofen,MIN,545250
392617,ibuprofen / menthol,MIN,537000
1550956,diphenhydramine / naproxen,MIN,534500
821036,chlorzoxazone / ibuprofen,MIN,513550
1008081,ambroxol / amoxicillin,MIN,512000
97016,vitamin a / vitamin d,MIN,512000
617777,omeprazole / sodium bicarbonate,MIN,512000
1008606,amoxicillin / piroxicam,MIN,512000
1007917,hydroxocobalamin / ibuprofen,MIN,509050
814985,ibuprofen / tolperisone,MIN,504950
1008079,homatropine / ibuprofen,MIN,503300
687386,ibuprofen / levomenthol,MIN,501800
1007823,cyclonium / ibuprofen,MIN,500000
1008502,ibuprofen / pseudoisocytidine,MIN,500000
1007373,ibuprofen / vitamin b 12,MIN,500000
1429982,pediacare children's pain & fever w/ ibuprofen,BN,500000
284641,naproxen / pseudoephedrine,MIN,494000
797426,naproxen / sumatriptan,MIN,494000
1008603,amoxicillin / nystatin,MIN,494000
465397,ciprofloxacin / dexamethasone,MIN,487000
214502,diclofenac / misoprostol,MIN,487000
994202,esomeprazole / naproxen,MIN,479000
215830,calcium carbonate / vitamin d,MIN,479000
1008689,naproxen / thiamine,MIN,466500
820465,carisoprodol / dexamethasone / ibuprofen,MIN,463833
818929,carisoprodol / naproxen,MIN,456750
203547,buscopan,BN,450000
2582,clindamycin,IN,450000
2438,cholesterol,IN,450000
1191,aspirin,IN,450000
1114199,xarelto,BN,450000
687078,acetaminophen / aspirin,MIN,450000
1311214,serotonin,IN,450000
136411,sildenafil,IN,450000
161,acetaminophen,IN,450000
8745,promethazine,IN,450000
